dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,155.040629,61.033164,0.007857,0.785714,39.285714,1964.285714,0.000311
0.020000,155.062984,61.033161,0.030213,1.117792,16.603908,-1134.090303,6.282863
0.020000,155.138370,61.033090,0.105598,3.769262,132.573475,5798.478337,6.281610
0.020000,155.251110,61.032808,0.218339,5.637026,93.388186,-1959.264452,6.279765
0.020000,155.400801,61.032116,0.368031,7.484632,92.380330,-50.392794,6.277367
0.020000,155.586905,61.030762,0.554141,9.305470,91.041882,-66.922399,6.274470
0.020000,155.808755,61.028456,0.776003,11.093097,89.381365,-83.025873,6.271141
0.020000,156.065553,61.024886,1.032826,12.841150,87.402639,-98.936258,6.267459
0.020000,156.356376,61.019733,1.323694,14.543431,85.114074,-114.428267,6.263515
0.020000,156.680178,61.012690,1.647573,16.193930,82.524946,-129.456420,6.259413
0.020000,157.035794,61.003486,2.003308,17.786754,79.641169,-144.188825,6.255268
0.020000,157.421945,60.991903,2.389632,19.316215,76.473057,-158.405612,6.251207
0.020000,157.837239,60.977800,2.805165,20.776649,73.021709,-172.567401,6.247368
0.020000,158.280175,60.961135,3.248415,22.162496,69.292332,-186.468859,6.243900
0.020000,158.749146,60.941982,3.717777,23.468111,65.280744,-200.579379,6.240964
0.020000,159.242435,60.920553,4.211532,24.687709,60.979923,-215.041057,6.238731
0.020000,159.758211,60.897218,4.727835,25.815174,56.373264,-230.332935,6.237386
0.020000,160.294521,60.872515,5.264713,26.843911,51.436846,-246.820902,6.237127
0.020000,160.849275,60.847170,5.820046,27.766644,46.136637,-265.010461,6.238165
0.020000,161.420229,60.822107,6.391550,28.575209,40.428252,-285.419264,6.240729
0.020000,162.004958,60.798448,6.976757,29.260336,34.256353,-308.594935,6.245066
0.020000,162.600821,60.777522,7.572988,29.811521,27.559224,-334.856441,6.251442
0.020000,163.204929,60.760852,8.177325,30.216888,20.268359,-364.543269,6.260151
0.020000,163.814101,60.750139,8.786592,30.463322,12.321725,-397.331681,6.271510
0.020000,164.424829,60.747229,9.397326,30.536736,3.670672,-432.552660,0.002679
0.020000,165.033247,60.754065,10.005783,30.422851,-5.694256,-468.246390,0.020404
0.020000,165.635136,60.772606,10.607957,30.108701,-15.707467,-500.660547,0.041900
0.020000,166.225962,60.804738,11.199657,29.584960,-26.187084,-523.980853,0.067586
0.020000,166.801007,60.852148,11.776653,28.849794,-36.758269,-528.559264,0.097884
0.020000,167.355605,60.916208,12.334938,27.914291,-46.775178,-500.845430,0.133195
0.020000,167.885542,60.997884,12.871132,26.809700,-55.229532,-422.717734,0.173858
0.020000,168.387624,61.097738,13.383047,25.595746,-60.697719,-273.409347,0.220090
0.020000,168.860395,61.216108,13.870412,24.368233,-61.375651,-33.896597,0.271920
0.020000,169.304878,61.353545,14.335658,23.262285,-55.297399,303.912609,0.329103
0.020000,169.725093,61.511512,14.784584,22.446297,-40.799375,724.901201,0.391060
0.020000,170.128063,61.693244,15.226637,22.102675,-17.181114,1180.913057,0.456847
0.020000,170.523043,61.904446,15.674539,22.395090,14.620756,1590.093494,0.525191
0.020000,170.920038,62.153466,16.143170,23.431575,51.824225,1860.173453,0.594604
0.020000,171.327965,62.450688,16.647893,25.236151,90.228840,1920.230761,0.663550
0.020000,172.105362,63.079191,17.647575,49.984065,1237.395660,57358.340980,0.683930
0.020000,172.988083,63.806469,18.791309,57.186736,360.133556,-43863.105211,0.695270
0.020000,173.842454,64.530749,19.911368,56.002942,-59.189658,-20966.160689,0.712120
0.020000,174.659683,65.251893,21.001282,54.495690,-75.362650,-808.649580,0.735126
0.020000,175.430030,65.968648,22.053504,52.611100,-94.229474,-943.341235,0.765043
0.020000,176.143113,66.678373,23.059584,50.304018,-115.354121,-1056.232326,0.802715
0.020000,176.788589,67.376933,24.010703,47.555908,-137.405480,-1102.567948,0.849023
0.020000,177.357351,68.059001,24.898794,44.404575,-157.566672,-1008.059608,0.904774
0.020000,177.843240,68.719197,25.718517,40.986159,-170.920790,-667.705903,0.970501
0.020000,178.244906,69.354471,26.470122,37.580216,-170.297147,31.182148,1.046180
0.020000,178.566861,69.967694,27.162724,34.630106,-147.505474,1139.583672,1.130899
0.020000,178.818354,70.571275,27.816604,32.693995,-96.805556,2534.995863,1.222631
0.020000,179.009486,71.188302,28.462555,32.297572,-19.821153,3849.220188,1.318297
0.020000,179.146055,71.848985,29.137206,33.732528,71.747782,4578.446727,1.414234
0.020000,179.226382,72.583099,29.875702,36.924814,159.614291,4393.325454,1.506929
0.020000,179.257323,73.683861,30.976898,55.059801,906.749355,37356.753208,1.564528
0.020000,179.235044,74.909271,32.202511,61.280641,311.042001,-29785.367730,1.614811
0.020000,179.149830,76.091867,33.388173,59.283125,-99.875801,-20545.890067,1.672229
0.020000,178.998455,77.222574,34.528968,57.039725,-112.169987,-614.709342,1.737272
0.020000,178.778898,78.294711,35.623354,54.719331,-116.019696,-192.485432,1.810095
0.020000,178.489639,79.306047,36.675244,52.594490,-106.242047,488.882446,1.890306
0.020000,178.128071,80.260457,37.695847,51.030153,-78.216850,1401.259864,1.976785
0.020000,177.688398,81.168005,38.704289,50.422101,-30.402627,2390.711123,2.067621
0.020000,177.160175,82.042619,39.726037,51.087403,33.265136,3183.388157,2.160266
0.020000,176.528849,82.897870,40.789064,53.151331,103.196373,3496.561890,2.251926
0.020000,175.515373,84.049313,42.322999,76.696737,1177.270328,53703.697721,2.297669
0.020000,174.099546,85.666309,44.472241,107.462111,1538.268701,18049.918642,2.287029
0.020000,172.859445,87.070696,46.345781,93.677005,-689.255311,-111376.200609,2.307101
0.020000,171.784725,88.202744,47.906728,78.047368,-781.481881,-4611.328464,2.361558
0.020000,170.913492,88.996336,49.085217,58.924426,-956.147061,-8733.259011,2.457380
0.020000,170.328638,89.417543,49.805959,36.037095,-1144.366556,-9410.974754,2.602103
0.020000,170.080466,89.543075,50.084074,13.905750,-1106.567267,1889.964465,2.793469
0.020000,170.011291,89.560521,50.155415,3.567068,-516.934115,29481.657573,3.006318
0.020000,169.783088,89.563239,50.383634,11.410928,392.193022,45456.356863,3.203464
0.020000,169.191995,89.471353,50.981826,29.909640,924.935618,26637.129786,3.363584
0.020000,165.954480,88.934922,54.263481,164.082747,6708.655319,289185.985063,3.253571
0.020000,163.176675,88.714990,57.049979,139.324898,-1237.892413,-397327.386587,3.194284
0.020000,160.905330,88.615157,59.323518,113.676916,-1282.399138,-2225.336260,3.184358
0.020000,159.135631,88.514887,61.096054,88.626831,-1252.504214,1494.746182,3.221571
0.020000,157.872582,88.368511,62.367558,63.575163,-1252.583436,-3.961083,3.305717
0.020000,157.103142,88.197191,63.155839,39.414075,-1208.054390,2226.452328,3.435027
0.020000,156.716696,88.049939,63.569389,20.677487,-936.829416,13561.248696,3.598674
0.020000,156.485616,87.910046,63.839515,13.506296,-358.559506,28913.495492,3.773531
0.020000,154.693063,86.624107,66.045616,110.305090,4839.939686,259924.959588,3.749378
0.020000,152.944798,85.431830,68.161735,105.805918,-224.958605,-253244.914546,3.733383
0.020000,151.346651,84.360557,70.085715,96.199001,-480.345862,-12769.362834,3.733462
0.020000,149.909185,83.380989,71.825215,86.975031,-461.198505,957.367809,3.748843
0.020000,148.641537,82.474308,73.383741,77.926267,-452.438167,438.016917,3.779176
0.020000,147.550872,81.630563,74.762674,68.946650,-448.980887,172.863977,3.824319
0.020000,146.639875,80.846488,75.964626,60.097601,-442.452431,326.422849,3.884011
0.020000,145.903098,80.121866,76.998027,51.670065,-421.376780,1053.782541,3.957410
0.020000,145.323966,79.453973,77.882038,44.200527,-373.476897,2394.994141,4.042601
0.020000,144.875317,78.831408,78.649418,38.369011,-291.575837,4095.052978,4.136312
0.020000,144.525259,78.231038,79.344389,34.748573,-181.021877,5527.698035,4.234120
0.020000,144.246129,77.621578,80.014729,33.516972,-61.580037,5972.091967,4.331251
0.020000,144.021292,76.974010,80.700219,34.274488,37.875796,4972.791652,4.421585
0.020000,143.715633,75.869793,81.845959,57.287034,1150.627286,55637.574506,4.464907
0.020000,143.485266,74.854977,82.886594,52.031741,-262.764633,-70669.595960,4.515594
0.020000,143.329247,73.939143,83.815623,46.451443,-279.014914,-812.514014,4.574298
0.020000,143.243240,73.130996,84.628333,40.635491,-290.797607,-589.134685,4.641488
0.020000,143.219059,72.435885,85.323865,34.776613,-292.943891,-107.314185,4.717252
0.020000,143.245243,71.852607,85.907730,29.193267,-279.167313,688.828910,4.801039
