dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,155.046846,41.033165,0.007857,0.785714,39.285714,1964.285714,0.000311
0.020000,155.056539,41.033162,0.017550,0.484639,-15.053748,-2716.973103,6.282863
0.020000,155.106868,41.033115,0.067879,2.516450,101.590536,5832.214170,6.281610
0.020000,155.182699,41.032925,0.143710,3.791544,63.754699,-1891.791844,6.279765
0.020000,155.284434,41.032454,0.245446,5.086804,64.762982,50.414162,6.277367
0.020000,155.412606,41.031521,0.373622,6.408802,66.099896,66.845690,6.274470
0.020000,155.567879,41.029907,0.528903,7.764040,67.761919,83.101148,6.271141
0.020000,155.751038,41.027360,0.712080,9.158848,69.740386,98.923384,6.267459
0.020000,155.962993,41.023602,0.924068,10.599411,72.028168,114.389073,6.263515
0.020000,156.204771,41.018341,1.165903,12.091771,74.618023,129.492751,6.259413
0.020000,156.477515,41.011279,1.438739,13.641780,77.500441,144.120883,6.255268
0.020000,156.782482,41.002128,1.743843,15.255197,80.670811,158.518545,6.251207
0.020000,157.121039,40.990628,2.082595,16.937614,84.120860,172.502452,6.247368
0.020000,157.494667,40.976567,2.456488,18.694633,87.850962,186.505058,6.243900
0.020000,157.904962,40.959806,2.867125,20.531874,91.862058,200.554797,6.240964
0.020000,158.353642,40.940312,3.316228,22.455143,96.163463,215.070249,6.238731
0.020000,158.842553,40.918189,3.805639,24.470542,100.769929,230.323346,6.237386
0.020000,159.373683,40.893724,4.337332,26.584663,105.706072,246.807116,6.237127
0.020000,159.949178,40.867435,4.913428,28.804784,111.006027,264.997747,6.238165
0.020000,160.571361,40.840129,5.536209,31.139070,116.714322,285.414740,6.240729
0.020000,161.242747,40.812977,6.208145,33.596761,122.884537,308.510782,6.245066
0.020000,161.966070,40.787597,6.931912,36.188375,129.580709,334.808611,6.251442
0.020000,162.744289,40.766157,7.710427,38.925741,136.868307,364.379877,6.260151
0.020000,163.580601,40.751502,8.546867,41.822004,144.813132,397.241231,6.271510
0.020000,164.478415,40.747301,9.444691,44.891209,153.460230,432.354947,0.002679
0.020000,165.441304,40.758228,10.407642,48.147546,162.816872,467.832054,0.020404
0.020000,166.472890,40.790160,11.439722,51.604015,172.823422,500.327537,0.041900
0.020000,167.576645,40.850398,12.545119,55.269844,183.291457,523.401728,0.067586
0.020000,168.755558,40.947884,13.728056,59.146834,193.849540,527.904155,0.097884
0.020000,170.011638,41.093355,14.992532,63.223815,203.849013,499.973656,0.133195
0.020000,171.345206,41.299389,16.341922,67.469503,212.284417,421.770208,0.173858
0.020000,172.753977,41.580183,17.778405,71.824123,217.730972,272.327751,0.220090
0.020000,174.232017,41.950967,19.302243,76.191906,218.389153,32.909035,0.271920
0.020000,175.768765,42.426893,20.911000,80.437867,212.298085,-304.553375,0.329103
0.020000,177.348472,43.021404,22.598873,84.393657,197.789496,-725.429458,0.391060
0.020000,178.950477,43.744289,24.356424,87.877519,174.193077,-1179.820967,0.456847
0.020000,180.550606,44.599881,26.170935,90.725556,142.401839,-1589.561913,0.525191
0.020000,182.123652,45.586057,28.027549,92.830733,105.258848,-1857.149551,0.594604
0.020000,183.646316,46.694475,29.910924,94.168702,66.898490,-1918.017905,0.663550
0.020000,184.742242,47.577280,31.318189,70.363294,-1190.270410,-62858.444980,0.683930
0.020000,185.799942,48.448856,32.688727,68.526891,-91.820159,54922.512552,0.695270
0.020000,186.911257,49.391185,34.145781,72.852681,216.289523,15405.484085,0.712120
0.020000,188.073301,50.416973,35.695809,77.501413,232.436606,807.354186,0.735126
0.020000,189.281392,51.541598,37.346344,82.526722,251.265415,941.440407,0.765043
0.020000,190.528011,52.783241,39.105814,87.973519,272.339847,1053.721612,0.802715
0.020000,191.801296,54.162598,40.983014,93.860019,294.325036,1099.259450,0.849023
0.020000,193.083061,55.701733,42.985977,100.148115,314.404765,1003.986446,0.904774
0.020000,194.346617,57.421475,45.120007,106.701508,327.669674,663.245467,0.970501
0.020000,195.555228,59.336849,47.384824,113.240882,326.968671,-35.050164,1.046180
0.020000,196.662768,61.450761,49.771300,119.323787,304.145251,-1141.170998,1.130899
0.020000,197.618357,63.747795,52.259174,124.393695,253.495394,-2532.492864,1.222631
0.020000,198.375304,66.191797,54.817712,127.926884,176.659465,-3841.796416,1.318297
0.020000,198.901438,68.730516,57.410377,129.633248,85.318188,-4567.063872,1.414234
0.020000,199.185606,71.306626,60.002113,129.586810,-2.321867,-4382.002757,1.506929
0.020000,199.256930,73.558500,62.255116,112.650164,-846.832309,-42225.522091,1.564528
0.020000,199.215674,75.789284,64.486281,111.558258,-54.595280,39611.851449,1.614811
0.020000,199.047033,78.117038,66.820136,116.692724,256.723266,15565.927284,1.672229
0.020000,198.721954,80.536729,69.261567,122.071538,268.940725,610.872957,1.737272
0.020000,198.208988,83.035134,71.812088,127.526079,272.727039,189.315716,1.810095
0.020000,197.477429,85.588072,74.467775,132.784324,262.912257,-490.739093,1.890306
0.020000,196.502315,88.159010,77.217424,137.482456,234.906609,-1400.282385,1.976785
0.020000,195.270410,90.700731,80.041948,141.226207,187.187511,-2385.954925,2.067621
0.020000,193.784882,93.161032,82.915947,143.699943,123.686834,-3175.033836,2.160266
0.020000,192.066081,95.491297,85.811532,144.779245,53.965075,-3486.087941,2.251926
0.020000,190.460501,97.340029,88.260144,122.430594,-1117.432547,-58569.881123,2.297669
0.020000,189.185234,98.797265,90.196594,96.822547,-1280.402348,-8148.490035,2.287029
0.020000,187.678556,100.501778,92.471554,113.747998,846.272553,106333.745063,2.307101
0.020000,185.850803,102.420530,95.121515,132.498043,937.502255,4561.485087,2.361558
0.020000,183.554760,104.494670,98.215682,154.708326,1110.514171,8650.595813,2.457380
0.020000,180.602606,106.576960,101.828319,180.631847,1296.176045,9283.093688,2.602103
0.020000,176.903167,108.343361,105.927834,204.975770,1217.196115,-3948.996505,2.793469
0.020000,172.708536,109.377808,110.248135,216.015065,551.964788,-33261.566335,3.006318
0.020000,168.546450,109.524971,114.412823,208.234358,-389.035358,-47050.007300,3.203464
0.020000,164.788545,108.980572,118.209956,189.856657,-918.885042,-26492.484207,3.363584
0.020000,163.719595,108.809662,119.292482,54.126320,-6786.516853,-293381.590581,3.253571
0.020000,162.123331,108.687232,120.893435,80.047641,1296.066007,404129.143041,3.194284
0.020000,160.050285,108.596871,122.968449,103.750710,1185.153450,-5545.627898,3.184358
0.020000,157.537777,108.450956,125.485191,125.837098,1104.319412,-4041.701894,3.221571
0.020000,154.604806,108.099746,128.439115,147.696180,1092.954119,-568.264651,3.305717
0.020000,151.318319,107.342316,131.811755,168.631991,1046.790540,-2308.178926,3.435027
0.020000,147.890072,105.996825,135.494583,184.141405,775.470702,-13565.991925,3.598674
0.020000,144.671420,104.047728,139.257387,188.140234,199.941454,-28776.462387,3.773531
0.020000,143.272051,103.042405,140.980439,86.152579,-5099.382751,-264966.210228,3.749378
0.020000,141.787842,102.030695,142.776666,89.811378,182.939966,264116.135843,3.733383
0.020000,140.188392,100.958546,144.702217,96.277530,323.307585,7018.380920,3.733462
0.020000,138.496947,99.805387,146.749353,102.356778,303.962408,-967.258814,3.748843
