dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.643865,37.550525,0.007826,0.782609,39.130435,1956.521739,0.029154
0.020000,5.644992,37.550558,0.008953,0.056369,-36.311971,-3772.120309,0.029041
0.020000,5.653341,37.550798,0.017306,0.417631,18.063069,2718.752006,0.028816
0.020000,5.750582,37.553585,0.114587,4.864057,222.321330,10212.913079,0.028479
0.020000,5.880222,37.557249,0.244279,6.484587,81.026501,-7064.741446,0.028032
0.020000,6.042248,37.561747,0.406367,8.104419,80.991606,-1.744759,0.027475
0.020000,6.236644,37.567025,0.600835,9.723366,80.947332,-2.213716,0.026811
0.020000,6.463390,37.573018,0.827660,11.341258,80.894613,-2.635949,0.026042
0.020000,6.722463,37.579653,1.086818,12.957922,80.833199,-3.070696,0.025169
0.020000,7.013838,37.586846,1.378282,14.573175,80.762631,-3.528390,0.024197
0.020000,7.337484,37.594506,1.702019,16.186846,80.683544,-3.954358,0.023128
0.020000,7.693369,37.602531,2.057994,17.798752,80.595307,-4.411850,0.021965
0.020000,8.081455,37.610813,2.446168,19.408725,80.498664,-4.832169,0.020713
0.020000,8.501702,37.619236,2.866500,21.016586,80.393027,-5.281814,0.019375
0.020000,8.954066,37.627680,3.318943,22.622151,80.278247,-5.739029,0.017957
0.020000,9.438500,37.636017,3.803448,24.225256,80.155256,-6.149527,0.016463
0.020000,9.954951,37.644115,4.319962,25.825716,80.023026,-6.611537,0.014898
0.020000,10.503363,37.651838,4.868430,27.423362,79.882277,-7.037404,0.013269
0.020000,11.083679,37.659047,5.448790,29.018012,79.732504,-7.488662,0.011581
0.020000,11.695834,37.665601,6.060980,30.609490,79.573884,-7.931016,0.009840
0.020000,12.339761,37.671360,6.704932,32.197633,79.407161,-8.336162,0.008054
0.020000,13.015388,37.676182,7.380577,33.782254,79.231041,-8.806001,0.006228
0.020000,13.722642,37.679927,8.087841,35.363190,79.046818,-9.211108,0.004371
0.020000,14.453416,37.682438,8.818619,36.538897,58.785374,-1013.072229,0.002511
0.020000,15.191607,37.683616,9.556811,36.909585,18.534379,-2012.549733,0.000692
0.020000,15.929178,37.683475,10.294383,36.878582,-1.550178,-1004.227866,6.282120
0.020000,16.666129,37.682061,11.031335,36.847600,-1.549071,0.055340,6.280425
0.020000,17.402457,37.679423,11.767667,36.816621,-1.548934,0.006853,6.278791
0.020000,18.138160,37.675609,12.503380,36.785671,-1.547531,0.070161,6.277220
0.020000,18.873238,37.670666,13.238475,36.754720,-1.547516,0.000766,6.275711
0.020000,19.607689,37.664640,13.972951,36.723803,-1.545867,0.082455,6.274263
0.020000,20.341513,37.657581,14.706808,36.692884,-1.545977,-0.005519,6.272877
0.020000,21.074709,37.649533,15.440049,36.662000,-1.544162,0.090769,6.271553
0.020000,21.807276,37.640546,16.172671,36.631114,-1.544323,-0.008047,6.270291
0.020000,22.539215,37.630664,16.904676,36.600263,-1.542521,0.090057,6.269090
0.020000,23.270524,37.619935,17.636064,36.569413,-1.542544,-0.001138,6.267952
0.020000,24.001205,37.608406,18.366836,36.538593,-1.540958,0.079318,6.266874
0.020000,24.731257,37.596123,19.096992,36.507777,-1.540815,0.007156,6.265859
0.020000,25.460681,37.583132,19.826531,36.476988,-1.539448,0.068338,6.264905
0.020000,26.189478,37.569478,20.555456,36.446205,-1.539176,0.013574,6.264012
0.020000,26.917647,37.555209,21.283764,36.415444,-1.538027,0.057450,6.263182
0.020000,27.645189,37.540370,22.011458,36.384691,-1.537667,0.018045,6.262412
0.020000,28.372106,37.525007,22.738537,36.353956,-1.536728,0.046926,6.261704
0.020000,29.098398,37.509164,23.465002,36.323230,-1.536317,0.020551,6.261058
0.020000,29.824066,37.492888,24.190852,36.292518,-1.535577,0.036983,6.260473
0.020000,30.549111,37.476224,24.916089,36.261815,-1.535155,0.021119,6.259949
0.020000,31.273533,37.459217,25.640711,36.231123,-1.534599,0.027802,6.259487
0.020000,31.997335,37.441912,26.364720,36.200439,-1.534203,0.019812,6.259086
0.020000,32.720517,37.424354,27.088115,36.169763,-1.533812,0.019527,6.258747
0.020000,33.443081,37.406588,27.810897,36.139093,-1.533478,0.016717,6.258468
