dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.226864,17.559024,0.007826,0.782609,39.130435,1956.521739,0.029154
0.020000,6.225737,17.558991,0.008953,0.056369,-36.311971,-3772.120309,0.029041
0.020000,6.229586,17.559102,0.012804,0.192505,6.806778,2155.937493,0.028816
0.020000,6.320094,17.561695,0.103349,4.527247,216.737119,10496.517023,0.028479
0.020000,6.440788,17.565106,0.224091,6.037148,75.495057,-7062.103081,0.028032
0.020000,6.591685,17.569295,0.375047,7.547758,75.530484,1.771351,0.027475
0.020000,6.772804,17.574213,0.556231,9.059241,75.574172,2.184393,0.026811
0.020000,6.984165,17.579799,0.767667,10.571781,75.626999,2.641345,0.026042
0.020000,7.225797,17.585988,1.009378,12.085556,75.688741,3.087079,0.025169
0.020000,7.497729,17.592701,1.281393,13.600736,75.758977,3.511805,0.024197
0.020000,7.799994,17.599854,1.583743,15.117502,75.838306,3.966451,0.023128
0.020000,8.132630,17.607355,1.916463,16.636025,75.926144,4.391903,0.021965
0.020000,8.495678,17.615102,2.279593,18.156489,76.023187,4.852168,0.020713
0.020000,8.889180,17.622990,2.673175,19.679066,76.128886,5.284950,0.019375
0.020000,9.313185,17.630905,3.097253,21.203928,76.243092,5.710275,0.017957
0.020000,9.767742,17.638727,3.551878,22.731261,76.366667,6.178789,0.016463
0.020000,10.252907,17.646334,4.037103,24.261234,76.498631,6.598159,0.014898
0.020000,10.768737,17.653598,4.552984,25.794027,76.639635,7.050223,0.013269
0.020000,11.315291,17.660388,5.099580,27.329810,76.789173,7.476893,0.011581
0.020000,11.892633,17.666569,5.676955,28.868758,76.947373,7.909990,0.009840
0.020000,12.500830,17.672009,6.285176,30.411056,77.114892,8.375970,0.008054
0.020000,13.139951,17.676570,6.924313,31.956865,77.290459,8.778341,0.006228
0.020000,13.810069,17.680118,7.594441,33.506369,77.475238,9.238934,0.004371
0.020000,14.503634,17.682501,8.288010,34.678479,58.605462,-943.488768,0.002511
0.020000,15.205442,17.683621,8.989818,35.090408,20.596481,-1900.449056,0.000692
0.020000,15.907870,17.683486,9.692247,35.121405,1.549823,-952.332888,6.282120
0.020000,16.610916,17.682137,10.395295,35.152397,1.549607,-0.010801,6.280425
0.020000,17.314579,17.679616,11.098962,35.183364,1.548371,-0.061836,6.278791
0.020000,18.018856,17.675965,11.803248,35.214330,1.548262,-0.005414,6.277220
0.020000,18.723746,17.671224,12.508154,35.245265,1.546760,-0.075112,6.275711
