dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.000670,131.047706,0.007826,0.782609,39.130435,1956.521739,6.241403
0.020000,7.999590,131.047751,0.008907,0.054031,-36.428871,-3777.965289,6.241511
0.020000,8.050892,131.045618,0.060253,2.567336,125.665215,8104.704280,6.241727
0.020000,8.141499,131.041874,0.150937,4.534181,98.342250,-1366.148223,6.242050
0.020000,8.262324,131.036927,0.271863,6.046302,75.606063,-1136.809337,6.242479
0.020000,8.413381,131.030816,0.423044,7.559042,75.636986,1.546120,6.243013
0.020000,8.594688,131.023586,0.604495,9.072564,75.676121,1.956773,6.243651
0.020000,8.806266,131.015296,0.816236,10.587020,75.722788,2.333336,6.244390
0.020000,9.048139,131.006009,1.058287,12.102567,75.777372,2.729220,6.245228
0.020000,9.320335,130.995800,1.330674,13.619363,75.839814,3.122073,6.246163
0.020000,9.622885,130.984750,1.633426,15.137566,75.910116,3.515102,6.247193
0.020000,9.955822,130.972948,1.966572,16.657333,75.988363,3.912353,6.248313
0.020000,10.319185,130.960492,2.330149,18.178825,76.074578,4.310746,6.249520
0.020000,10.713014,130.947484,2.724193,19.702195,76.168507,4.696464,6.250811
0.020000,11.137353,130.934033,3.148745,21.227606,76.270583,5.103779,6.252182
0.020000,11.592249,130.920256,3.603849,22.755217,76.380520,5.496857,6.253628
0.020000,12.077752,130.906271,4.089553,24.285190,76.498650,5.906491,6.255145
0.020000,12.593914,130.892204,4.605906,25.817680,76.624508,6.292938,6.256727
0.020000,13.140791,130.878182,5.152963,27.352851,76.758550,6.702056,6.258369
0.020000,13.718442,130.864336,5.730781,28.890864,76.900657,7.105380,6.260066
0.020000,14.326929,130.850799,6.339418,30.431878,77.050672,7.500742,6.261811
0.020000,14.966316,130.837705,6.978939,31.976053,77.208789,7.905856,6.263598
0.020000,15.636670,130.825186,7.649410,33.523553,77.374997,8.310390,6.265420
0.020000,16.330435,130.813499,8.343273,34.693141,58.479398,-944.779947,6.267251
0.020000,17.032396,130.802946,9.045314,35.102041,20.444976,-1901.721081,6.269047
0.020000,17.734932,130.793628,9.747911,35.129864,1.391174,-952.690131,6.270787
0.020000,18.438039,130.785506,10.451065,35.157702,1.391891,0.035866,6.272472
0.020000,19.141715,130.778543,11.154776,35.185553,1.392526,0.031733,6.274101
0.020000,19.845960,130.772703,11.859045,35.213414,1.393070,0.027232,6.275674
0.020000,20.550769,130.767947,12.563870,35.241285,1.393542,0.023581,6.277191
0.020000,21.256143,130.764238,13.269254,35.269164,1.393947,0.020270,6.278653
0.020000,21.962079,130.761538,13.975195,35.297050,1.394289,0.017095,6.280059
0.020000,22.668575,130.759809,14.681693,35.324941,1.394573,0.014192,6.281409
0.020000,23.375632,130.759014,15.388750,35.352837,1.394804,0.011551,6.282703
0.020000,24.083246,130.759115,16.096365,35.380737,1.394987,0.009161,0.000757
0.020000,24.791418,130.760073,16.804538,35.408639,1.395128,0.007013,0.001939
0.020000,25.500147,130.761850,17.513269,35.436544,1.395230,0.005097,0.003066
0.020000,26.209431,130.764408,18.222558,35.464450,1.395298,0.003401,0.004137
0.020000,26.919271,130.767708,18.932405,35.492357,1.395336,0.001916,0.005153
0.020000,27.629665,130.771713,19.642810,35.520264,1.395349,0.000632,0.006112
0.020000,28.340613,130.776383,20.353773,35.548170,1.395339,-0.000463,0.007016
0.020000,29.052115,130.781680,21.065295,35.576077,1.395312,-0.001378,0.007864
0.020000,29.764170,130.787565,21.777375,35.603982,1.395269,-0.002124,0.008656
0.020000,30.476779,130.793999,22.490012,35.631886,1.395215,-0.002717,0.009392
0.020000,31.189941,130.800943,23.203208,35.659789,1.395149,-0.003300,0.010072
0.020000,31.903656,130.808358,23.916962,35.687691,1.395083,-0.003290,0.010697
0.020000,32.617925,130.816205,24.631274,35.715591,1.395011,-0.003619,0.011266
0.020000,33.332747,130.824445,25.346144,35.743490,1.394937,-0.003678,0.011779
0.020000,34.048123,130.833039,26.061571,35.771387,1.394865,-0.003630,0.012236
0.020000,34.764053,130.841946,26.777557,35.799283,1.394795,-0.003486,0.012637
0.020000,35.480538,130.851128,27.494101,35.827178,1.394730,-0.003257,0.012983
0.020000,36.197578,130.860546,28.211202,35.855071,1.394671,-0.002952,0.013273
0.020000,36.915173,130.870158,28.928861,35.882963,1.394619,-0.002583,0.013507
0.020000,37.633323,130.879926,29.647078,35.910855,1.394576,-0.002160,0.013685
0.020000,38.352030,130.889810,30.365853,35.938746,1.394542,-0.001693,0.013808
0.020000,39.071294,130.899769,31.085186,35.966636,1.394518,-0.001193,0.013874
0.020000,39.791115,130.909764,31.805076,35.994526,1.394505,-0.000669,0.013885
0.020000,40.511494,130.919755,32.525525,36.022416,1.394502,-0.000133,0.013841
0.020000,41.232432,130.929701,33.246531,36.050307,1.394510,0.000405,0.013740
0.020000,41.953928,130.939562,33.968095,36.078197,1.394529,0.000935,0.013584
0.020000,42.675984,130.949297,34.690217,36.106088,1.394559,0.001500,0.013371
0.020000,43.398601,130.958866,35.412896,36.133980,1.394597,0.001929,0.013103
0.020000,44.121778,130.968229,36.136134,36.161873,1.394644,0.002348,0.012780
0.020000,44.845515,130.977345,36.859929,36.189767,1.394700,0.002760,0.012400
0.020000,45.569815,130.986173,37.584282,36.217662,1.394761,0.003092,0.011965
0.020000,46.294676,130.994671,38.309193,36.245559,1.394828,0.003353,0.011474
0.020000,47.020100,131.002800,39.034663,36.273457,1.394899,0.003533,0.010927
0.020000,47.746086,131.010517,39.760690,36.301356,1.394972,0.003622,0.010324
0.020000,48.472635,131.017783,40.487275,36.329257,1.395044,0.003608,0.009666
0.020000,49.199746,131.024555,41.214418,36.357159,1.395113,0.003482,0.008951
0.020000,49.927421,131.030791,41.942119,36.385063,1.395178,0.003233,0.008181
0.020000,50.655658,131.036452,42.670379,36.412968,1.395235,0.002851,0.007355
0.020000,51.384458,131.041495,43.399196,36.440873,1.395282,0.002325,0.006473
0.020000,52.113821,131.045877,44.128572,36.468780,1.395314,0.001645,0.005536
0.020000,52.843745,131.049559,44.858505,36.496686,1.395330,0.000800,0.004543
0.020000,53.574231,131.052497,45.588997,36.524593,1.395326,-0.000220,0.003493
0.020000,54.305278,131.054651,46.320047,36.552499,1.395298,-0.001413,0.002388
0.020000,55.036885,131.055977,47.051655,36.580404,1.395241,-0.002820,0.001228
0.020000,55.769051,131.056433,47.783821,36.608307,1.395151,-0.004525,0.000011
0.020000,56.295350,131.058070,48.310124,26.315103,-514.660186,-25802.766859,0.006290
0.020000,56.937982,131.064600,48.952788,32.133232,290.906460,40278.332296,0.014023
0.020000,57.581000,131.076093,49.595909,32.156027,1.139736,-14488.336182,0.021711
0.020000,58.224375,131.092526,50.239494,32.179268,1.162052,1.115807,0.029352
0.020000,58.868112,131.113875,50.883585,32.204559,1.264569,5.125850,0.036943
0.020000,59.512186,131.140115,51.528193,32.230383,1.291204,1.331756,0.044482
0.020000,60.156594,131.171219,52.173351,32.257914,1.376536,4.266608,0.051966
0.020000,60.801319,131.207158,52.819077,32.286305,1.419537,2.150050,0.059394
0.020000,61.446352,131.247902,53.465396,32.315944,1.481980,3.122142,0.066761
0.020000,62.091685,131.293422,54.112332,32.346798,1.542681,3.035058,0.074068
0.020000,62.737300,131.343685,54.759901,32.378423,1.581243,1.928073,0.081310
0.020000,63.383197,131.398657,55.408133,32.411612,1.659456,3.910647,0.088487
0.020000,64.029356,131.458303,56.057039,32.445326,1.685690,1.311707,0.095596
0.020000,64.675773,131.522588,56.706645,32.480260,1.746716,3.051300,0.102636
