dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.165272,111.065161,0.007826,0.782609,39.130435,1956.521739,6.241403
0.020000,7.166352,111.065116,0.008907,0.054031,-36.428871,-3777.965289,6.241511
0.020000,7.221967,111.062804,0.064570,2.783149,136.455886,8644.237830,6.241727
0.020000,7.319026,111.058793,0.161712,4.857123,103.698699,-1637.859340,6.242050
0.020000,7.448427,111.053495,0.291221,6.475440,80.915850,-1139.142447,6.242479
0.020000,7.610157,111.046951,0.453084,8.093130,80.884498,-1.567616,6.243013
0.020000,7.804204,111.039214,0.647284,9.710045,80.845777,-1.936047,6.243651
0.020000,8.030550,111.030345,0.873805,11.326024,80.798927,-2.342475,6.244390
0.020000,8.289178,111.020415,1.132623,12.940911,80.744329,-2.729929,6.245228
0.020000,8.580064,111.009504,1.423714,14.554548,80.681878,-3.122524,6.246163
0.020000,8.903185,110.997703,1.747050,16.166779,80.611539,-3.516962,6.247193
0.020000,9.258510,110.985108,2.102599,17.777446,80.533359,-3.909009,6.248313
0.020000,9.646011,110.971824,2.490326,19.386392,80.447319,-4.302002,6.249520
0.020000,10.065651,110.957964,2.910196,20.993455,80.353106,-4.710641,6.250811
0.020000,10.517393,110.943644,3.362165,22.598477,80.251140,-5.098311,6.252182
0.020000,11.001198,110.928991,3.846191,24.201299,80.141078,-5.503096,6.253628
0.020000,11.517019,110.914133,4.362226,25.801764,80.023237,-5.892030,6.255145
0.020000,12.064810,110.899204,4.910220,27.399706,79.897094,-6.307148,6.256727
0.020000,12.644518,110.884340,5.490120,28.994968,79.763106,-6.699426,6.258369
0.020000,13.256091,110.869681,6.101868,30.587390,79.621129,-7.098837,6.260066
0.020000,13.899468,110.855368,6.745404,32.176810,79.470983,-7.507282,6.261811
0.020000,14.574587,110.841541,7.420665,33.763067,79.312870,-7.905637,6.263598
0.020000,15.281384,110.828342,8.127585,35.346003,79.146781,-8.304488,6.265420
0.020000,16.011765,110.816037,8.858070,36.524239,58.911829,-1011.747595,6.267251
0.020000,16.749641,110.804945,9.596029,36.897949,18.685487,-2011.317097,6.269047
0.020000,17.486979,110.795165,10.333432,36.870126,-1.391142,-1003.831455,6.270787
0.020000,18.223775,110.786654,11.070277,36.842289,-1.391860,-0.035896,6.272472
0.020000,18.960028,110.779369,11.806566,36.814439,-1.392486,-0.031303,6.274101
0.020000,19.695734,110.773267,12.542298,36.786579,-1.393041,-0.027730,6.275674
0.020000,20.430892,110.768306,13.277472,36.758708,-1.393518,-0.023884,6.277191
0.020000,21.165498,110.764443,14.012088,36.730830,-1.393924,-0.020279,6.278653
0.020000,21.899552,110.761635,14.746147,36.702944,-1.394266,-0.017110,6.280059
0.020000,22.633051,110.759841,15.479648,36.675053,-1.394551,-0.014212,6.281409
0.020000,23.365993,110.759017,16.212592,36.647158,-1.394782,-0.011575,6.282703
0.020000,24.098378,110.759120,16.944977,36.619258,-1.394966,-0.009190,0.000757
0.020000,24.830205,110.760110,17.676804,36.591356,-1.395107,-0.007046,0.001939
0.020000,25.561472,110.761944,18.408073,36.563452,-1.395209,-0.005133,0.003066
0.020000,26.292178,110.764579,19.138784,36.535547,-1.395278,-0.003441,0.004137
0.020000,27.022323,110.767974,19.868937,36.507640,-1.395317,-0.001959,0.005153
0.020000,27.751906,110.772087,20.598531,36.479734,-1.395331,-0.000677,0.006112
0.020000,28.480927,110.776875,21.327568,36.451827,-1.395323,0.000415,0.007016
0.020000,29.209385,110.782298,22.056046,36.423921,-1.395296,0.001328,0.007864
0.020000,29.937280,110.788314,22.783967,36.396016,-1.395255,0.002072,0.008656
0.020000,30.664613,110.794881,23.511329,36.368112,-1.395202,0.002652,0.009392
0.020000,31.391383,110.801957,24.238133,36.340209,-1.395143,0.002943,0.010072
