dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,215.155247,141.125283,0.007826,0.782609,39.130435,1956.521739,3.138980
0.020000,215.158277,141.125276,0.010857,0.151536,-31.553611,-3534.202293,3.139284
0.020000,215.164340,141.125264,0.016920,0.303143,7.580309,1956.695986,3.139890
0.020000,215.173438,141.125252,0.026017,0.454888,7.587253,0.347216,3.140800
0.020000,215.142161,141.125241,0.057295,1.563854,55.448337,2393.054203,3.142014
0.020000,215.000817,141.125074,0.198638,7.067177,275.166149,10985.890603,3.143533
0.020000,214.831249,141.124590,0.368207,8.478441,70.563196,-10230.147664,3.145360
0.020000,214.633495,141.123634,0.565964,9.887835,70.469675,-4.676018,3.147495
0.020000,214.407548,141.122024,0.791917,11.297647,70.490620,1.047236,3.149942
0.020000,214.153421,141.119552,1.046055,12.706905,70.462892,-1.386414,3.152702
0.020000,213.871151,141.115982,1.328348,14.114650,70.387248,-3.782193,3.155779
0.020000,213.560791,141.111052,1.638747,15.519944,70.264680,-6.128420,3.159175
0.020000,213.222418,141.104473,1.977184,16.921872,70.096419,-8.413049,3.162893
0.020000,212.855982,141.095926,2.343719,18.326758,70.244314,7.394747,3.166938
0.020000,212.461654,141.085067,2.738197,19.723888,69.856494,-19.390960,3.171312
0.020000,212.039350,141.071518,3.160718,21.126074,70.109310,12.640786,3.176020
0.020000,211.589238,141.054880,3.611138,22.520986,69.745592,-18.185927,3.181066
0.020000,211.111366,141.034719,4.089435,23.914855,69.693457,-2.606717,3.186453
0.020000,210.605807,141.010573,4.595570,25.306749,69.594673,-4.939188,3.192187
0.020000,210.072659,140.981951,5.129486,26.695784,69.451757,-7.145816,3.198272
0.020000,209.511992,140.948329,5.691160,28.083723,69.396966,-2.739565,3.204712
0.020000,208.923893,140.909153,6.280562,29.470090,69.318350,-3.930802,3.211513
0.020000,208.308536,140.863843,6.897585,30.851142,69.052609,-13.287018,3.218679
0.020000,207.672984,140.812373,7.535218,31.881647,51.525212,-876.369882,3.226132
0.020000,207.031257,140.755545,8.179457,32.211931,16.514223,-1750.549435,3.233710
