dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,215.207490,161.125215,0.007826,0.782609,39.130435,1956.521739,3.138980
0.020000,215.204460,161.125222,0.010857,0.151536,-31.553611,-3534.202293,3.139284
0.020000,215.198397,161.125235,0.016920,0.303143,7.580309,1956.695986,3.139890
0.020000,215.189299,161.125246,0.026017,0.454888,7.587253,0.347216,3.140800
0.020000,215.133741,161.125239,0.081575,2.777885,116.149850,5428.129832,3.142014
0.020000,214.962010,161.125036,0.253307,8.586575,290.434519,8714.233493,3.143533
0.020000,214.755911,161.124448,0.459407,10.305011,85.921779,-10225.637001,3.145360
0.020000,214.515449,161.123286,0.699871,12.023206,85.909779,-0.600007,3.147495
0.020000,214.240571,161.121327,0.974756,13.744270,86.053207,7.171389,3.149942
0.020000,213.931239,161.118318,1.284103,15.467340,86.153472,5.013246,3.152702
0.020000,213.587435,161.113969,1.627934,17.191559,86.210961,2.874442,3.155779
0.020000,213.209161,161.107961,2.006256,18.916083,86.226216,0.762771,3.159175
0.020000,212.796438,161.099936,2.419058,20.640082,86.199939,-1.313887,3.162893
0.020000,212.349128,161.089502,2.866489,22.371544,86.573072,18.656668,3.166938
0.020000,211.867358,161.076235,3.348441,24.097648,86.305229,-13.392158,3.171312
0.020000,211.350938,161.059667,3.865127,25.834283,86.831742,26.325685,3.176020
0.020000,210.799982,161.039301,4.416459,27.566595,86.615615,-10.806357,3.181066
0.020000,210.214456,161.014598,5.002507,29.302389,86.789672,8.702833,3.186453
0.020000,209.594349,160.984981,5.623320,31.040683,86.914719,6.252370,3.192187
0.020000,208.939681,160.949834,6.278931,32.780521,86.991876,3.857813,3.198272
0.020000,208.250436,160.908501,6.969414,34.524152,87.181589,9.485675,3.204712
0.020000,207.526620,160.860284,7.694835,36.271041,87.344435,8.142306,3.211513
0.020000,206.768341,160.804450,8.455166,38.016570,87.276427,-3.400435,3.218679
0.020000,205.984219,160.740947,9.241855,39.334458,65.894391,-1069.101757,3.226132
