dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.893839,59.793841,0.007857,0.785714,39.285714,1964.285714,6.256284
0.020000,133.899528,59.793687,0.013548,0.284559,-25.057771,-3217.174284,6.255715
0.020000,133.957111,59.792065,0.071154,2.880288,129.786453,7742.211195,6.254581
0.020000,134.068248,59.788791,0.182339,5.559246,133.947924,208.073591,6.252891
0.020000,134.216219,59.784141,0.330383,7.402180,92.146668,-2090.062813,6.250658
0.020000,134.400839,59.777878,0.515109,9.236307,91.706337,-22.016545,6.247899
0.020000,134.621882,59.769714,0.736303,11.059709,91.170134,-26.810182,6.244637
0.020000,134.879072,59.759311,0.993704,12.870029,90.516015,-32.705934,6.240897
0.020000,135.172092,59.746296,1.287012,14.665431,89.770065,-37.297504,6.236709
0.020000,135.500579,59.730258,1.615890,16.443914,88.924158,-42.295323,6.232107
0.020000,135.864127,59.710761,1.979961,18.203545,87.981544,-47.130718,6.227128
0.020000,136.262285,59.687352,2.378806,19.942252,86.935380,-52.308195,6.221815
0.020000,136.694565,59.659567,2.811978,21.658582,85.816479,-55.945048,6.216212
0.020000,137.160438,59.626944,3.278992,23.350700,84.605913,-60.528282,6.210368
0.020000,137.659339,59.589028,3.779332,25.017009,83.315460,-64.522687,6.204334
0.020000,138.190671,59.545383,4.312453,26.656055,81.952270,-68.159480,6.198164
0.020000,138.753805,59.495602,4.877784,28.266520,80.523281,-71.449434,6.191917
0.020000,139.348085,59.439317,5.474723,29.846956,79.021773,-75.075445,6.185652
0.020000,139.972832,59.376207,6.102650,31.396359,77.470172,-77.580048,6.179430
0.020000,140.627349,59.306007,6.760921,32.913533,75.858668,-80.575204,6.173317
0.020000,141.310917,59.228519,7.448866,34.397273,74.186990,-83.583889,6.167380
0.020000,142.022807,59.143623,8.165800,35.846710,72.471868,-85.756075,6.161686
0.020000,142.762281,59.051279,8.911018,37.260867,70.707867,-88.200038,6.156307
0.020000,143.528589,58.951543,9.683789,38.638560,68.884619,-91.162403,6.151316
0.020000,144.320976,58.844572,10.483364,39.978746,67.009320,-93.764985,6.146787
0.020000,145.138679,58.730631,11.308968,41.280199,65.072632,-96.834395,6.142798
0.020000,145.980929,58.610105,12.159797,42.541488,63.064453,-100.408956,6.139429
0.020000,146.846946,58.483506,13.035019,43.761076,60.979423,-104.251490,6.136764
0.020000,147.735937,58.351482,13.933759,44.937024,58.797416,-109.100330,6.134890
0.020000,148.647089,58.214828,14.855103,46.067159,56.506737,-114.533965,6.133899
0.020000,149.579565,58.074491,15.798079,47.148830,54.083518,-121.160963,6.133887
0.020000,150.532488,57.931585,16.761658,48.178945,51.505765,-128.887618,6.134958
0.020000,151.504934,57.787402,17.744735,49.153847,48.745088,-138.033867,6.137221
0.020000,152.495914,57.643417,18.746121,50.069297,45.772522,-148.628292,6.140797
0.020000,153.504357,57.501306,19.764528,50.920334,42.551857,-161.033252,6.145813
0.020000,154.529085,57.362953,20.798553,51.701284,39.047498,-175.217965,6.152410
0.020000,155.568793,57.230457,21.846670,52.405838,35.227707,-190.989545,6.160741
0.020000,156.622017,57.106148,22.907205,53.026728,31.044474,-209.161631,6.170973
0.020000,157.687106,56.992579,23.978331,53.556311,26.479156,-228.265897,6.183289
0.020000,158.762189,56.892537,25.058059,53.986381,21.503490,-248.783315,6.197886
0.020000,159.845148,56.809025,26.144233,54.308707,16.116298,-269.359612,6.214982
0.020000,160.933593,56.745252,27.234545,54.515625,10.345928,-288.518470,6.234806
0.020000,162.024856,56.704596,28.326565,54.600979,4.267694,-303.911714,6.257602
0.020000,163.115990,56.690565,29.417789,54.561196,-1.989140,-312.841734,0.000434
0.020000,164.203827,56.706740,30.505746,54.397871,-8.166281,-308.857014,0.029920
0.020000,165.285062,56.756705,31.588135,54.119465,-13.920282,-287.700038,0.063104
0.020000,166.356411,56.843984,32.663034,53.744911,-18.727724,-240.372147,0.100180
0.020000,167.414833,56.971994,33.729168,53.306741,-21.908497,-159.038647,0.141273
0.020000,168.457822,57.144033,34.786251,52.854119,-22.631082,-36.129214,0.186413
0.020000,169.483729,57.363348,35.835339,52.454393,-19.986293,132.239411,0.235493
0.020000,170.492063,57.633276,36.879176,52.191884,-13.125471,343.041101,0.288240
0.020000,171.483660,57.957465,37.922423,52.162317,-1.478320,582.357586,0.344188
0.020000,172.460643,58.340113,38.971669,52.462297,14.998993,823.865658,0.402677
0.020000,173.426108,58.786128,40.035177,53.175420,35.656118,1032.856221,0.462881
0.020000,174.383537,59.301100,41.122315,54.356874,59.072728,1170.830514,0.523865
0.020000,175.336125,59.891036,42.242782,56.023381,83.325333,1212.630235,0.584658
0.020000,176.286131,60.561863,43.405761,58.148967,106.279302,1147.698449,0.644342
0.020000,177.234518,61.318851,44.619214,60.672634,126.183357,995.202771,0.702122
0.020000,178.180839,62.166064,45.889369,63.507736,141.755101,778.587187,0.757376
0.020000,179.123476,63.106044,47.220582,66.560637,152.645072,544.498541,0.809668
0.020000,180.059981,64.139700,48.615388,69.740324,158.984323,316.962538,0.858745
0.020000,181.089078,65.374010,50.222423,80.351767,530.572148,18579.391250,0.886470
0.020000,182.163335,66.720845,51.945210,86.139327,289.377984,-12059.708188,0.909045
0.020000,183.205097,68.093538,53.668450,86.161981,1.132726,-14412.262883,0.934716
0.020000,184.207856,69.492603,55.389760,86.065509,-4.823611,-297.816857,0.963722
0.020000,185.164742,70.918334,57.106833,85.853655,-10.592689,-288.453898,0.996293
0.020000,186.068646,72.370816,58.817606,85.538671,-15.749183,-257.824684,1.032635
0.020000,186.912375,73.849990,60.520496,85.144489,-19.709126,-197.997153,1.072906
0.020000,187.688862,75.355773,62.214697,84.710048,-21.722033,-100.645363,1.117186
0.020000,188.391371,76.888261,63.900531,84.291701,-20.917346,40.234371,1.165443
0.020000,189.011636,78.442388,65.573863,83.666603,-31.254926,-516.879007,1.217306
0.020000,189.541650,80.008072,67.226825,82.648075,-50.926393,-983.573361,1.271989
0.020000,189.978182,81.581430,68.859618,81.639686,-50.419463,25.346491,1.328687
0.020000,190.320996,83.164776,70.479651,81.001620,-31.903264,925.809965,1.386661
0.020000,190.570248,84.760788,72.095009,80.767904,-11.685816,1010.872380,1.445103
0.020000,190.726326,86.372095,73.713857,80.942402,8.724898,1020.535717,1.503195
0.020000,190.795312,88.049889,75.393069,83.960608,150.910288,7109.269505,1.549672
0.020000,190.799131,89.861202,77.204386,90.565863,330.262771,8967.624150,1.588529
0.020000,190.730459,91.627675,78.972194,88.390366,-108.774862,-21951.881653,1.631735
0.020000,190.585507,93.340134,80.690776,85.929106,-123.063001,-714.406977,1.679860
0.020000,190.361223,94.988419,82.354250,83.173731,-137.768724,-735.286111,1.733493
0.020000,190.055656,96.561795,83.957024,80.138679,-151.752636,-699.195618,1.793191
0.020000,189.668240,98.049801,85.494636,76.880626,-162.902631,-557.499733,1.859402
0.020000,189.199821,99.443508,86.964955,73.515930,-168.234819,-266.609433,1.932337
0.020000,188.652194,100.737100,88.369688,70.236633,-163.964830,213.499448,2.011827
0.020000,188.026974,101.929355,89.715932,67.312217,-146.220804,887.201321,2.097161
0.020000,187.323966,103.024283,91.017119,65.059359,-112.642890,1678.895686,2.186999
0.020000,186.539715,104.030211,92.292635,63.775771,-64.179392,2423.174888,2.279402
0.020000,185.667236,104.957288,93.565698,63.653185,-6.129344,2902.502411,2.372050
0.020000,184.697512,105.814376,94.859903,64.710222,52.851854,2949.059890,2.462585
