dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.624855,49.797460,0.007857,0.785714,39.285714,1964.285714,6.256284
0.020000,133.624855,49.797460,0.039286,2.357143,78.571429,1964.285714,6.255715
0.020000,133.671103,49.796156,0.102143,3.928571,78.571429,-0.000000,6.254581
0.020000,133.765347,49.793379,0.196429,5.500000,78.571429,0.000000,6.252891
0.020000,133.891000,49.789431,0.322143,7.071429,78.571429,-0.000000,6.250658
0.020000,134.048052,49.784103,0.479286,8.642857,78.571429,0.000000,6.247899
0.020000,134.236496,49.777142,0.667857,10.214286,78.571429,0.000000,6.244637
0.020000,134.456316,49.768252,0.887857,11.785714,78.571429,-0.000000,6.240897
0.020000,134.707496,49.757094,1.139286,13.357143,78.571429,0.000000,6.236709
0.020000,134.990016,49.743300,1.422143,14.928571,78.571429,-0.000000,6.232107
0.020000,135.303852,49.726469,1.736429,16.500000,78.571429,0.000000,6.227128
0.020000,135.648969,49.706178,2.082143,18.071429,78.571429,0.000000,6.221815
0.020000,136.025335,49.681986,2.459286,19.642857,78.571429,-0.000000,6.216212
0.020000,136.432908,49.653444,2.867857,21.214286,78.571429,0.000000,6.210368
0.020000,136.871642,49.620099,3.307857,22.785714,78.571429,0.000000,6.204334
0.020000,137.341486,49.581504,3.779286,24.357143,78.571429,-0.000000,6.198164
0.020000,137.842390,49.537223,4.282143,25.928571,78.571429,0.000000,6.191917
0.020000,138.374293,49.486844,4.816429,27.500000,78.571429,0.000000,6.185652
0.020000,138.937142,49.429984,5.382143,29.071429,78.571429,0.000000,6.179430
0.020000,139.530880,49.366301,5.979286,30.642857,78.571429,-0.000000,6.173317
0.020000,140.155450,49.295499,6.607857,32.214286,78.571429,0.000000,6.167380
0.020000,140.810804,49.217342,7.267857,33.785714,78.571429,-0.000000,6.161686
0.020000,141.496903,49.131661,7.959286,35.357143,78.571429,0.000000,6.156307
0.020000,142.213713,49.038365,8.682143,36.928571,78.571429,-0.000000,6.151316
0.020000,142.961217,48.937450,9.436429,38.500000,78.571429,0.000000,6.146787
0.020000,143.739413,48.829012,10.222143,40.071429,78.571429,-0.000000,6.142798
0.020000,144.548315,48.713256,11.039286,41.642857,78.571429,0.000000,6.139429
0.020000,145.387962,48.590510,11.887857,43.214286,78.571429,0.000000,6.136764
0.020000,146.258415,48.461238,12.767857,44.785714,78.571429,-0.000000,6.134890
0.020000,147.159762,48.326053,13.679286,46.357143,78.571429,0.000000,6.133899
0.020000,148.092120,48.185734,14.622143,47.928571,78.571429,0.000000,6.133887
0.020000,149.055632,48.041242,15.596429,49.500000,78.571429,-0.000000,6.134958
0.020000,150.050470,47.893740,16.602143,51.071429,78.571429,0.000000,6.137221
0.020000,151.076837,47.744618,17.639286,52.642857,78.571429,-0.000000,6.140797
0.020000,152.134953,47.595513,18.707857,54.214286,78.571429,0.000000,6.145813
0.020000,153.225061,47.448341,19.807857,55.785714,78.571429,0.000000,6.152410
0.020000,154.347412,47.305326,20.939286,57.357143,78.571429,0.000000,6.160741
0.020000,155.502250,47.169039,22.102143,58.928571,78.571429,-0.000000,6.170973
0.020000,156.689799,47.042434,23.296429,60.500000,78.571429,0.000000,6.183289
0.020000,157.910232,46.928894,24.522143,62.071429,78.571429,-0.000000,6.197886
0.020000,159.163641,46.832275,25.779286,63.642857,78.571429,0.000000,6.214982
0.020000,160.449987,46.756952,27.067857,65.214286,78.571429,-0.000000,6.234806
0.020000,161.769047,46.707868,28.387857,66.785714,78.571429,0.000000,6.257602
0.020000,163.120326,46.690566,29.739286,68.357143,78.571429,0.000000,0.000434
0.020000,164.502979,46.711215,31.122143,69.928571,78.571429,-0.000000,0.029920
0.020000,165.915687,46.776609,32.536429,71.500000,78.571429,0.000000,0.063104
0.020000,167.356534,46.894122,33.982143,73.071429,78.571429,0.000000,0.100180
0.020000,168.822868,47.071618,35.459286,74.642857,78.571429,0.000000,0.141273
0.020000,170.311173,47.317279,36.967857,76.214286,78.571429,-0.000000,0.186413
0.020000,171.816958,47.639355,38.507857,77.785714,78.571429,0.000000,0.235493
0.020000,173.334719,48.045820,40.079286,79.357143,78.571429,-0.000000,0.288240
0.020000,174.857981,48.543967,41.682143,80.928571,78.571429,0.000000,0.344188
0.020000,176.379466,49.139960,43.316429,82.500000,78.571429,0.000000,0.402677
0.020000,177.891387,49.838431,44.982143,84.071429,78.571429,0.000000,0.462881
0.020000,179.385840,50.642176,46.679286,85.642857,78.571429,0.000000,0.523865
0.020000,180.855265,51.552025,48.407857,87.214286,78.571429,0.000000,0.584658
0.020000,182.292854,52.566909,50.167857,88.785714,78.571429,0.000000,0.644342
0.020000,183.692913,53.684120,51.959286,90.357143,78.571429,-0.000000,0.702122
0.020000,185.051010,54.899651,53.782143,91.928571,78.571429,0.000000,0.757376
0.020000,186.364058,56.208656,55.636429,93.500000,78.571429,-0.000000,0.809668
0.020000,187.630211,57.605818,57.522143,95.071429,78.571429,0.000000,0.858745
0.020000,188.837529,59.052498,59.439286,96.642857,78.571429,0.000000,0.886470
0.020000,190.052506,60.575849,61.387857,98.214286,78.571429,0.000000,0.909045
0.020000,191.249402,62.153070,63.367857,99.785714,78.571429,-0.000000,0.934716
0.020000,192.421061,63.787933,65.379286,101.357143,78.571429,-0.000000,0.963722
0.020000,193.559364,65.484153,67.422143,102.928571,78.571429,0.000000,0.996293
0.020000,194.655169,67.245232,69.496429,104.500000,78.571429,-0.000000,1.032635
0.020000,195.698293,69.074255,71.602143,106.071429,78.571429,0.000000,1.072906
0.020000,196.677570,70.973636,73.739286,107.642857,78.571429,0.000000,1.117186
0.020000,197.581004,72.944828,75.907857,109.214286,78.571429,0.000000,1.165443
0.020000,198.393336,74.980639,78.100000,110.000000,39.285714,-1964.285714,1.217306
0.020000,199.098531,77.064264,80.300000,110.000000,0.000000,-1964.285714,1.271989
0.020000,199.686527,79.183925,82.500000,110.000000,0.000000,0.000000,1.328687
0.020000,200.151946,81.333815,84.700000,110.000000,0.000000,0.000000,1.386661
0.020000,200.491357,83.507159,86.900000,110.000000,0.000000,0.000000,1.445103
0.020000,200.703485,85.696596,89.100000,110.000000,0.000000,0.000000,1.503195
0.020000,200.793081,87.838666,91.300000,110.000000,0.000000,0.000000,1.549672
0.020000,200.797559,90.038518,93.500000,110.000000,0.000000,0.000000,1.588529
0.020000,200.711898,92.236681,95.700000,110.000000,0.000000,0.000000,1.631735
0.020000,200.526092,94.428605,97.900000,110.000000,0.000000,0.000000,1.679860
0.020000,200.229164,96.608213,100.100000,110.000000,0.000000,0.000000,1.733493
0.020000,199.809376,98.767457,102.300000,110.000000,0.000000,0.000000,1.793191
