dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.355871,39.801078,0.007857,0.785714,39.285714,1964.285714,6.256284
0.020000,133.350182,39.801233,0.013548,0.284559,-25.057771,-3217.174284,6.255715
0.020000,133.385095,39.800247,0.048475,1.746343,73.089231,4907.350139,6.254581
0.020000,133.462447,39.797968,0.125861,3.869269,106.146266,1652.851743,6.252891
0.020000,133.565781,39.794721,0.229246,5.169281,65.000605,-2057.283085,6.250658
0.020000,133.695266,39.790328,0.358805,6.477941,65.432996,21.619556,6.247899
0.020000,133.851110,39.784571,0.514755,7.797522,65.979072,27.303819,6.244637
0.020000,134.033559,39.777192,0.697354,9.129927,66.620252,32.059002,6.240897
0.020000,134.242900,39.767893,0.906901,10.477348,67.371035,37.539135,6.236709
0.020000,134.479453,39.756342,1.143736,11.841770,68.221097,42.503105,6.232107
0.020000,134.743576,39.742177,1.408239,13.225115,69.167249,47.307628,6.227128
0.020000,135.035653,39.725003,1.700820,14.629076,70.198036,51.539317,6.221815
0.020000,135.356105,39.704405,2.021933,16.055651,71.328775,56.536964,6.216212
0.020000,135.705377,39.679944,2.372061,17.506409,72.537892,60.455833,6.210368
0.020000,136.083944,39.651171,2.751720,18.982920,73.825568,64.383794,6.204334
0.020000,136.492302,39.617625,3.161454,20.486689,75.188447,68.143975,6.198164
0.020000,136.930974,39.578843,3.601837,22.019151,76.623111,71.733210,6.191917
0.020000,137.400502,39.534370,4.073466,23.581466,78.115729,74.630888,6.185652
0.020000,137.901452,39.483761,4.576966,25.174984,79.675915,78.009317,6.179430
0.020000,138.434410,39.426595,5.112981,26.800770,81.289264,80.667440,6.173317
0.020000,138.999983,39.362479,5.682176,28.459769,82.949947,83.034129,6.167380
0.020000,139.598802,39.291062,6.285239,30.153136,84.668374,85.921364,6.161686
0.020000,140.231525,39.212044,6.922878,31.881931,86.439742,88.568385,6.156307
0.020000,140.898838,39.125187,7.595819,33.647084,88.257654,90.895627,6.151316
